sr_no,name,id,city,address,work_sector,Address,City,State,Telephone,Mobile No,Website Url,E-mail
,,,,,,,,,,,,
24,Laxmivasudev Foundation,"show_ngo_info(""211886"");","1895, Burari (DELHI)","D4/799/2, Budh Bazar, 41 Ft Road, Sant Nagar, Burari, Delhi-84","Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Biotechnology,Children,Civic Issues,Dalit Upliftment,Differently Abled,Disaster Management,Drinking Water,Education & Literacy,Aged/Elderly,Environment & Forests,Food Processing,Health & Family Welfare,HIV/AIDS,Housing,Human Rights,Information & Communication Technology,Labour & Employment,Land Resources,Legal Awareness & Aid,Micro Finance (SHGs),Micro Small & Medium Enterprises,Minority Issues,New & Renewable Energy,Panchayati Raj,Prisoner's Issues,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Scientific & Industrial Research,Sports","A-12,FATEHNAGAR,NEAR SINGH SABHA GURDWARA",DELHI,DELHI,Not Available,9210378488,http://ngo.lbti.co.in,lbti[dot]laxmi(at)gmail.com
,,,,,,,,,,,,
25,Layman Education Society Mahatma Gandhi University,"show_ngo_info(""159152"");","S/36104, Delhi (DELHI)","GI-12 G.T Karnal Road Near Azadpur Metro Station, Delhi-110033","Education & Literacy,Vocational Training,Any Other","D4/799/2, Budh Bazar, 41 Ft Road, Sant Nagar, Burari, Delhi-84",Burari,DELHI,Not Available,9953926329,http://www.laxmivasudevngo.com,laxmivasudevngo(at)gmail[dot]com
,,,,,,,,,,,,
26,LDR HUMANIZING FOUNDATION,"show_ngo_info(""192106"");","U74999DL2017NPL324876, NEW DELHI (DELHI)","OFFICE NO 211,G-79-80, GUPTA COMPLEX, MAIN MARKET, LAXMI NAGAR, NEW DELHI 110092",Education & Literacy,"GI-12 G.T Karnal Road Near Azadpur Metro Station, Delhi-110033",Delhi,DELHI,Not Available,8415921060,Not Available,k[dot]abhishek(at)mgu.edu.in
,,,,,,,,,,,,
27,LE RYTHME,"show_ngo_info(""205193"");","831, NEW DELHI (DELHI)","D-756, 1ST FLOOR, C.R.PARK, NEW DELHI",Art & Culture,"OFFICE NO 211,G-79-80, GUPTA COMPLEX, MAIN MARKET, LAXMI NAGAR, NEW DELHI 110092",NEW DELHI,DELHI,Not Available,9911314655,Not Available,FCARATAN(at)GMAIL[dot]COM
,,,,,,,,,,,,
28,LEADERSHIP FOR ENVIRONMENT & DEVELOPMENT (LEAD INDIA),"show_ngo_info(""166463"");","S.38/26, New Delhi (DELHI)","M-8, THIRD FLOOR, GREATER KAILASH-1","Education & Literacy,Environment & Forests,Rural Development & Poverty Alleviation,Tourism,Urban Development & Poverty Alleviation,Any Other","D-756, 1ST FLOOR, C.R.PARK, NEW DELHI",NEW DELHI,DELHI,Not Available,8700772919,http:\\lerythmeworld.com,le[dot]rythme(at)gmail.com
,,,,,,,,,,,,
29,Learners Castle Educational Society,"show_ngo_info(""152161"");","S60695, NCT of Delhi (DELHI)",2643 Ground Floor Hudson Line GTB Nagar New Delhi,Data Not Found,"M-8, THIRD FLOOR, GREATER KAILASH-1",New Delhi,DELHI,Not Available,9711585325,http://www.leadindia.org,office(at)leadindia[dot]org
,,,,,,,,,,,,
30,LEARNIFY SCHOOL OF ACADEMICS,"show_ngo_info(""204107"");","1967, DELHI (DELHI)","243, JWALA NAGAR , SHAHDRA DELHI-110032","Children,Disaster Management,Education & Literacy,Aged/Elderly,Environment & Forests,Health & Family Welfare,Science & Technology,Scientific & Industrial Research,Vocational Training,Youth Affairs",2643 Ground Floor Hudson Line GTB Nagar New Delhi,NCT of Delhi,DELHI,Not Available,9313131133,Not Available,learnerssociety(at)gmail[dot]com
,,,,,,,,,,,,
31,Learning Leadership Foundation,"show_ngo_info(""155081"");","4919, New Delhi (DELHI)","1208, Padma Tower1, 5 Rajendra Place, New Delhi - 110008",Education & Literacy,"243, JWALA NAGAR , SHAHDRA DELHI-110032",DELHI,DELHI,Not Available,7065982508,http://www.lsa.org.in/,abhijat[dot]parashar(at)gmail.com
,,,,,,,,,,,,
32,Learning Links Foundation,"show_ngo_info(""165252"");","14409, Delhi (DELHI)","Allied House, 2nd floor, Near B-7 Post office, Vasant Kunj, New Delhi-110070",Education & Literacy,"1208, Padma Tower1, 5 Rajendra Place, New Delhi - 110008",New Delhi,DELHI,Not Available,9811431018,http://llfoundation.org,ravinder[dot]singh(at)llfoundation.org
,,,,,,,,,,,,
33,Learning Matters Foundation,"show_ngo_info(""205682"");","11028, New Delhi (DELHI)","6-B, Malcha Marg, Chanakyapuri","Differently Abled,Children,Education & Literacy","Allied House, 2nd floor, Near B-7 Post office, Vasant Kunj, New Delhi-110070",Delhi,DELHI,Not Available,9312231475,http://www.learninglinksindia.org/,vandana[dot]madan(at)learninglinksindia.org
,,,,,,,,,,,,
34,LEGAL INITIATIVE FOR FOREST AND ENVIRONMENT,"show_ngo_info(""166057"");","2843, Delhi (DELHI)","N-71, Lower Ground Floor, Greater Kailash-1, New Delhi-110048",Environment & Forests,"6-B, Malcha Marg, Chanakyapuri",New Delhi,DELHI,Not Available,9818685565,http://www.learningmatters-india.org,learningmattersdel(at)gmail[dot]com
,,,,,,,,,,,,
35,Legends of India,"show_ngo_info(""153145"");","49307 of 2004, New Delhi (DELHI)","J-1824, Lower Ground Floor, Chittaranjan park, New Delhi :110019.",Art & Culture,"N-71, Lower Ground Floor, Greater Kailash-1, New Delhi-110048",Delhi,DELHI,Not Available,9654981029,Not Available,amarbisht(at)lifeindia[dot]net.in
,,,,,,,,,,,,
36,LEHER,"show_ngo_info(""193085"");","S-E/39/Distt. South-East/2013, NEW DELHI (DELHI)","C-252, GROUND FLOOR, DEFENCE COLONY","Children,Education & Literacy,Human Rights","J-1824, Lower Ground Floor, Chittaranjan park, New Delhi :110019.",New Delhi,DELHI,Not Available,9818746760,Not Available,indraneelgangopadhya(at)yahoo[dot]co.in
,,,,,,,,,,,,
37,LENDING HANDS FOUNDATION,"show_ngo_info(""159306"");","U85100DL2017NPL313672, Delhi (DELHI)","3391, ARYA PURA, SUBZI MANDI, Delhi, Delhi, North Delhi, Delhi, India, 110007","Children,Differently Abled,Education & Literacy,Aged/Elderly,Minority Issues,Vocational Training,Youth Affairs,Any Other","C-252, GROUND FLOOR, DEFENCE COLONY",NEW DELHI,DELHI,Not Available,9818092949,http://leher.org/,contact(at)leher[dot]org
,,,,,,,,,,,,
38,LEPROSY REHABILITATION SOCIETY,"show_ngo_info(""213929"");","3963, NEW DELHI (DELHI)","N BLOCK, GREATER KAILASH-I,NEW DELHI-110048",Health & Family Welfare,"3391, ARYA PURA, SUBZI MANDI, Delhi, Delhi, North Delhi, Delhi, India, 110007",Delhi,DELHI,Not Available,9711158343,https://thoseinneed.in/,sainiabhishek28(at)gmail[dot]com
,,,,,,,,,,,,
39,LESDEP FOUNDATION,"show_ngo_info(""189962"");","943 in book no 4 vol No 1117, DELHI (DELHI)","ND-19,VAISHAKHA ENCLAVEPITAM PURA","Children,Health & Family Welfare,Women's Development & Empowerment,Education & Literacy","N BLOCK, GREATER KAILASH-I,NEW DELHI-110048",NEW DELHI,DELHI,Not Available,9899067833,Not Available,rishi[dot]soma1(at)gmail.com
,,,,,,,,,,,,
40,Let Live Foundation,"show_ngo_info(""223375"");","District East/Society/290/2011, New Delhi (DELHI)","A-7, A BLOCK, GURU RAM DASS NAGAR, LAXMI NAGAR, NEW DELHI- 110092","Children,Education & Literacy,Health & Family Welfare,Women's Development & Empowerment","ND-19,VAISHAKHA ENCLAVE
PITAM PURA",DELHI,DELHI,Not Available,9311954980,Not Available,vivekdeo[dot]21(at)gmail.com
,,,,,,,,,,,,
41,LET THE SPIRIT MOVE,"show_ngo_info(""119827"");","S/1320/Distt. South/2013, SOUTH DELHI (DELHI)","LET THE SPIRIT MOVE 18/301-302, DDA FLAT DR. AMBEDKAR NAGAR DAKSHINPURI DELHI110062","Education & Literacy,Vocational Training,Women's Development & Empowerment,Children","A-7, A BLOCK, GURU RAM DASS NAGAR, LAXMI NAGAR, NEW DELHI- 110092",New Delhi,DELHI,Not Available,9990087697,http://www.letliveindia.com/,letlivefoundation(at)gmail[dot]com
,,,,,,,,,,,,
42,LET US FLY,"show_ngo_info(""234453"");","961, Delhi (DELHI)","B-15/16, SURAKSHA VIHAR, VIKAS NAGAR MATA KE WALI GALI NEER OM VATIKA, UTTAM NAGAR, NEW DELHI -110059","Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Children,Civic Issues,Differently Abled,Disaster Management,Drinking Water,Education & Literacy,Environment & Forests,Human Rights,Land Resources,Youth Affairs","LET THE SPIRIT MOVE 18/301-302, DDA FLAT DR. AMBEDKAR NAGAR DAKSHINPURI DELHI110062",SOUTH DELHI,DELHI,011-26055260,9999627260,http://www.letdspiritmove.org,LETSMOVE03(at)GMAIL[dot]COM
,,,,,,,,,,,,
43,Lets Help India,"show_ngo_info(""112139"");","1184, Delhi (DELHI)","F-16, B-1/47 Sewak Park, Uttam Nagar, New Delhi - 110059","Agriculture,Children,Differently Abled,Education & Literacy,Environment & Forests,Information & Communication Technology,Labour & Employment,Micro Small & Medium Enterprises,Rural Development & Poverty Alleviation,Urban Development & Poverty Alleviation,Vocational Training,Women's Development & Empowerment","B-15/16, SURAKSHA VIHAR, VIKAS NAGAR MATA KE WALI GALI NEER OM VATIKA, UTTAM NAGAR, NEW DELHI -110059",Delhi,DELHI,Not Available,8901282700,Not Available,letusflybharat(at)gmail[dot]com
,,,,,,,,,,,,
44,LEX ALLIANCE FOUNDATION,"show_ngo_info(""185674"");","U93000DL2013NPL260314, NEW DELHI (DELHI)","A-414, Defence Colony, New Delhi-110024","Education & Literacy,Women's Development & Empowerment","F-16, B-1/47 Sewak Park, Uttam Nagar, New Delhi - 110059",Delhi,DELHI,011-99115388,9911538884,http://www.letshelpindia.in,pramodkumar1981(at)gmail[dot]com
,,,,,,,,,,,,
45,Lex Foundation,"show_ngo_info(""181820"");","605, Delhi (DELHI)","House No 641, Street No 16, Raj Nagar II,Palam Colony,New Delhi 110077","Panchayati Raj,Rural Development & Poverty Alleviation,Youth Affairs,Agriculture,Civic Issues,Drinking Water,Education & Literacy,Environment & Forests,Health & Family Welfare,Human Rights,Legal Awareness & Aid,Minority Issues,Nutrition,Children,Dalit Upliftment","A-414, Defence Colony, New Delhi-110024",NEW DELHI,DELHI,Not Available,9818246180,http://www.lexalliancefoundation.org,rajsehgal007(at)gmail[dot]com
,,,,,,,,,,,,
46,LexQuest Foundation,"show_ngo_info(""204677"");","807/4/358/99-111, New Delhi (DELHI)","1/22, Second Floor, Asaf Ali Road, New Delhi-110002","Civic Issues,Education & Literacy,Human Rights,Legal Awareness & Aid,Vocational Training,Women's Development & Empowerment,Minority Issues,Urban Development & Poverty Alleviation,Youth Affairs,Any Other","House No 641, Street No 16, Raj Nagar II,Palam Colony,New Delhi 110077",Delhi,DELHI,Not Available,9560461324,http://www.lexfoundation.net,anishdahiya(at)gmail[dot]com
,,,,,,,,,,,,
47,LIFE AGE INDIA FOUNDATION,"show_ngo_info(""185875"");","U85320DL2017NPL315603, HIRANKI (DELHI)","172, HIRANKI, NEAR MCD SCHOOL, NORTH WEST DELHI, DELHI, INDIA-110036","Children,Differently Abled,Education & Literacy,Aged/Elderly,Rural Development & Poverty Alleviation,Women's Development & Empowerment,Youth Affairs","1/22, Second Floor, Asaf Ali Road, New Delhi-110002",New Delhi,DELHI,Not Available,9929451140,https://lexquest.in/,info[dot]lexquest(at)gmail.com
,,,,,,,,,,,,
48,LIFE BEAT FOUNDATION,"show_ngo_info(""190936"");","110, Delhi (DELHI)","H.no. D-205, Street no-3 Near Nalanda School",Data Not Found,"172, HIRANKI, NEAR MCD SCHOOL, NORTH WEST DELHI, DELHI, INDIA-110036",HIRANKI,DELHI,Not Available,9568768945,http://lifeageindia.org/,dheerajsharmarsm(at)gmail[dot]com
,,,,,,,,,,,,
49,life care educational trust,"show_ngo_info(""224740"");","1405, DELHI (DELHI)","PLOT No. ,H-673, SF KHANO 30/24, POLE No. K-612, PALAM EXTN., DWARKA, NEAR SEC 7, NEW DELHI-110045",Education & Literacy,"H.no. D-205, Street no-3 Near Nalanda School",Delhi,DELHI,Not Available,9999200103,Not Available,rakeshkumar(at)lifebeatfoundation[dot]org
,,,,,,,,,,,,
50,LIfe Changing Society,"show_ngo_info(""160735"");","S-54637, New Delhi (DELHI)",252 Satya NiketanMoti BaghIINew Delhi110021,"Children,Differently Abled,Education & Literacy","PLOT No. ,H-673, SF KHANO 30/24, POLE No. K-612, PALAM EXTN., DWARKA, NEAR SEC 7, NEW DELHI-110045",DELHI,DELHI,Not Available,9212144688,Not Available,drjugal[dot]sharma(at)gmail.com
,,,,,,,,,,,,
51,LIFE CHARITABLE & WELFARE SOCIETY,"show_ngo_info(""157574"");","S 57089/2006, Delhi  (DELHI)","House No. 7, Gali No. 11,A- Block, Sant Nagar,Delhi 110084",Education & Literacy,"252 Satya Niketan
Moti BaghII
New Delhi110021",New Delhi,DELHI,Not Available,8800699156,http://www.lifecentreacademy.org/,rohitbhalla(at)me[dot]com
,,,,,,,,,,,,
52,LIFE CONNECT FOUNDATION,"show_ngo_info(""212987"");","607, NEW DELHI (DELHI)",LIFE CONNECT FOUNDATIONPAWAN BHARDWAJE31 G.K ENCLAVENEW DELHI110048,"Education & Literacy,Health & Family Welfare,Information & Communication Technology","House No. 7, Gali No. 11,
A- Block, Sant Nagar,
Delhi 110084",Delhi,DELHI,Not Available,9911666251,Not Available,LIFESANSTHA(at)GMAIL[dot]COM
,,,,,,,,,,,,
53,LIFE COUNTS NOW,"show_ngo_info(""168023"");","5235, delhi (DELHI)","Flat No- B-802 Maharani Aventibai Apartment, Dwarka sector-22, New Delhi",Data Not Found,"LIFE CONNECT FOUNDATION
PAWAN BHARDWAJ
E31 G.K ENCLAVE
NEW DELHI110048",NEW DELHI,DELHI,Not Available,9871713851,Not Available,leopawan55(at)gmail[dot]com
,,,,,,,,,,,,
54,LIFE ENCOURAGE ANNUALLY FOUNDATION,"show_ngo_info(""159558"");","DistrictEast/Society/1401/2015, Delhi (DELHI)","A11/3, West Jyoti Nagar, Shahdara, Delhi","Children,Human Rights,Legal Awareness & Aid,Right to Information & Advocacy,Sports,Women's Development & Empowerment,Youth Affairs","Flat No- B-802 Maharani Aventibai Apartment, Dwarka sector-22, New Delhi",delhi,DELHI,Not Available,9997046143,https://www.lifecountsnow.org/,ALOKASHILUCKNOW(at)GMAIL[dot]COM
,,,,,,,,,,,,
55,Life Foundation,"show_ngo_info(""207546"");","S/001121NE/2012, Shahdara (DELHI)","H.No 106, Gali No 10, Balbir Nagar Ext. Shahdara, Delhi110032",Education & Literacy,"A11/3, West Jyoti Nagar, Shahdara, Delhi",Delhi,DELHI,Not Available,9643577935,https://www.ngoleaf.org,ngoleaf(at)gmail[dot]com
,,,,,,,,,,,,
56,LIFE FOUNDATION,"show_ngo_info(""210164"");","1812, DELHI (DELHI)","HOUSE NO-22, OFFICE NO-201, S/F, POOJA COMPLEX, KHASRA NO-429, VIR SAWARKAR SHAKARPUR",Data Not Found,"H.No 106, Gali No 10, Balbir Nagar Ext. Shahdara, Delhi110032",Shahdara,DELHI,Not Available,8607656555,Not Available,info(at)lifefoundation[dot]in
,,,,,,,,,,,,
57,Life Foundation,"show_ngo_info(""239917"");","1005/B4/V100/P89, New Delhi (DELHI)","Flat No- 463, Kaveri Apartment, Pocket D-6, Vasant Kunj, South West Delhi",Data Not Found,"HOUSE NO-22, OFFICE NO-201, S/F, POOJA COMPLEX, KHASRA NO-429, VIR SAWARKAR SHAKARPUR",DELHI,DELHI,Not Available,8077849163,Not Available,ad[dot]govindmaheshwari(at)gmail.com
,,,,,,,,,,,,
58,Life Health Care Organization,"show_ngo_info(""161166"");","1317/NE/2013, delhi (DELHI)","B-58, Gali No. 9, Shri Ram Colony, Karawal Nagar","Art & Culture,Children,Civic Issues,Education & Literacy,Aged/Elderly,Environment & Forests,Health & Family Welfare,Human Rights,Legal Awareness & Aid","Flat No- 463, Kaveri Apartment, Pocket D-6, Vasant Kunj, South West Delhi",New Delhi,DELHI,Not Available,9958844614,Not Available,lifefoundary(at)gmail[dot]com
,,,,,,,,,,,,
59,LIFE HEALTH MISSION,"show_ngo_info(""218662"");","789, New Delhi (DELHI)",E-14-G/332.new Seelampur Delhi-110053,"Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Biotechnology,Children,Civic Issues,Dalit Upliftment,Differently Abled,Disaster Management,Drinking Water,Education & Literacy,Aged/Elderly,Environment & Forests,Food Processing,Health & Family Welfare,HIV/AIDS,Human Rights,Information & Communication Technology,Legal Awareness & Aid,Minority Issues,Nutrition,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Scientific & Industrial Research,Water Resources,Women's Development & Empowerment","B-58, Gali No. 9, Shri Ram Colony, Karawal Nagar",delhi,DELHI,Not Available,9871319832,http://www.lifehealthcareorganization.com,drhanifmansuri786(at)gmail[dot]com
,,,,,,,,,,,,
60,Life Light Foundation,"show_ngo_info(""114807"");","665, Delhi (DELHI)","20/349, TRILOKPURI, EAST DELHI (NEAR 27 BLOCK BUS STAND)DELHI 110091","Education & Literacy,Agriculture,Art & Culture,Disaster Management,Environment & Forests,Health & Family Welfare,Human Rights,Rural Development & Poverty Alleviation,Tourism,Vocational Training,Women's Development & Empowerment,Any Other",E-14-G/332.new Seelampur Delhi-110053,New Delhi,DELHI,Not Available,8090767574,Not Available,lifehealthmission[dot]org(at)gmail.com
,,,,,,,,,,,,
61,LIFE LINE CARE ORGANISATION,"show_ngo_info(""22573"");","S54998, DELHI (DELHI)","A/234 BHARAT VIHAR, NEAR BADI-MAHAZID, KAKROLA, DWARKA SECTOR-14,NEW DELHI-110078","Aged/Elderly,Agriculture,Art & Culture,Children,Civic Issues,Differently Abled,Disaster Management,Dalit Upliftment,Drinking Water,Education & Literacy,Environment & Forests,Food Processing,Health & Family Welfare,HIV/AIDS,Housing,Human Rights,Information & Communication Technology,Legal Awareness & Aid,Labour & Employment,Land Resources,Micro Finance (SHGs),Minority Issues,Micro Small & Medium Enterprises,New & Renewable Energy,Nutrition","20/349, TRILOKPURI, EAST DELHI (NEAR 27 BLOCK BUS STAND)
DELHI 110091",Delhi,DELHI,011-65800700,9821672048,http://llfindia.org,contactlifelight(at)gmail[dot]com
,,,,,,,,,,,,
62,LIFE OF VISION FOUNDATION,"show_ngo_info(""200152"");","S-E/690/DISTT SOUTH-EAST/2015, DELHI (DELHI)","K 1-122, BASEMENT CHITRANJAN PARK,NEW DELHI 110019","Education & Literacy,Health & Family Welfare,Information & Communication Technology,Art & Culture","A/234 BHARAT VIHAR, NEAR BADI-MAHAZID, KAKROLA, DWARKA SECTOR-14,NEW DELHI-110078",DELHI,DELHI,011-32002596,9868407549,http://www.llcoindia.org,info(at)llcoindia[dot]org
,,,,,,,,,,,,
63,LIFE SCIENCES FOUNDATION,"show_ngo_info(""221138"");","119/96-97, New Delhi (DELHI)","GH-13, Flat No.590, (SFS), Paschim vihar, New Delhi 110 041",Any Other,"K 1-122, BASEMENT CHITRANJAN PARK,NEW DELHI 110019",DELHI,DELHI,Not Available,8802353939,Not Available,lifeofvisionfoundation(at)gmail[dot]com
,,,,,,,,,,,,
64,Lifecare Foundation,"show_ngo_info(""177383"");","79, NEW DELHI (DELHI)","301, PRATAP COMPLEX, R20, SHAKARPUR, DELHI","Labour & Employment,Minority Issues,Rural Development & Poverty Alleviation,Vocational Training,Any Other,Children,HIV/AIDS","GH-13, Flat No.590, (SFS), Paschim vihar, New Delhi 110 041",New Delhi,DELHI,Not Available,9810022108,Not Available,jainrkj(at)yahoo[dot]co.in
,,,,,,,,,,,,
65,LIFES SO GOOD,"show_ngo_info(""236951"");","1245/2018, Delhi (DELHI)","A-271, Thut, Sunder Nagari, Delhi 110093","Agriculture,Animal Husbandry, Dairying  &  Fisheries,Children,Differently Abled,Education & Literacy","301, PRATAP COMPLEX, R20, SHAKARPUR, DELHI",NEW DELHI,DELHI,Not Available,9212367949,Not Available,lifecarefoundationpmkvy(at)gmail[dot]com
,,,,,,,,,,,,
66,LIGHT AND THE WAY FOUNDATION,"show_ngo_info(""230080"");","1522, NEW DELHI (DELHI)",H NO 30/14A WEST PATEL NAGAR NEW DELHI 110008,Any Other,"A-271, Thut, Sunder Nagari, Delhi 110093",Delhi,DELHI,Not Available,8700486779,hhtp://www.lifesogood.in,lifesogood[dot]org060718(at)gmail.com
,,,,,,,,,,,,
67,Light Cube Society,"show_ngo_info(""174819"");","S/1409/Distt. South/2013, NEW DELHI (DELHI)","C362, Sheikh Sarai1, New Delhi110017","Art & Culture,Education & Literacy,Vocational Training,Youth Affairs,Any Other",H NO 30/14A WEST PATEL NAGAR NEW DELHI 110008,NEW DELHI,DELHI,Not Available,8210394690,Not Available,lightandthewayfoundation(at)gmail[dot]com
,,,,,,,,,,,,
68,Light Life Freedom,"show_ngo_info(""218933"");","DEL-LR23472-21022014, New Delhi (DELHI)","E3/3 MALVIYA NAGAR, NEW DELHI 110017",Children,"C362, Sheikh Sarai1, New Delhi110017",NEW DELHI,DELHI,Not Available,7838340196,http://lightcube.in,suraj[dot]prasad(at)lightcube.in
,,,,,,,,,,,,
69,Light of Buddhadharma Foundation International India,"show_ngo_info(""210297"");","U93090DL2007NPL160698, New Delhi (DELHI)","1A, Vandana Building, 11 Tolstoy Marg, New Delhi-110001",Data Not Found,"E3/3 MALVIYA NAGAR, NEW DELHI 110017",New Delhi,DELHI,Not Available,9891098309,Not Available,kara[dot]cfs(at)gmail.com
,,,,,,,,,,,,
70,lightning india foundation for excellence,"show_ngo_info(""156232"");","1010, pitampura (DELHI)",282 GHALIB APARTMENT PARWANA ROAD PITAMPURA NEW DELHI 110034,"Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Biotechnology,Children,Civic Issues,Dalit Upliftment,Differently Abled,Disaster Management,Drinking Water,Education & Literacy,Aged/Elderly,Environment & Forests,Food Processing,Health & Family Welfare,HIV/AIDS,Housing,Human Rights,Information & Communication Technology,Labour & Employment,Land Resources,Legal Awareness & Aid,Micro Finance (SHGs),Micro Small & Medium Enterprises,Minority Issues,New & Renewable Energy,Nutrition,Panchayati Raj,Prisoner's Issues,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Science & Technology,Scientific & Industrial Research,Sports,Tourism,Tribal Affairs,Urban Development & Poverty Alleviation,Vocational Training,Women's Development & Empowerment","1A, Vandana Building, 11 Tolstoy Marg, New Delhi-110001",New Delhi,DELHI,Not Available,9354975050,http://www.lbdfi.org,rajivsharmaadvocate(at)yahoo[dot]com
,,,,,,,,,,,,
71,LIGHTS,"show_ngo_info(""99799"");","S/46826, New Delhi (DELHI)","1584, B1, Vasant Kunj, New Delhi-110070","Animal Husbandry, Dairying  &  Fisheries,Agriculture,Biotechnology,Disaster Management,Environment & Forests,Information & Communication Technology,New & Renewable Energy,Nutrition,Panchayati Raj,Scientific & Industrial Research,Science & Technology,Vocational Training,Water Resources,Women's Development & Empowerment",282 GHALIB APARTMENT PARWANA ROAD PITAMPURA NEW DELHI 110034,pitampura,DELHI,Not Available,9311132549,Not Available,liffefoundation(at)gmail[dot]com
,,,,,,,,,,,,
72,LINGAYA'S SOCIETY,"show_ngo_info(""172407"");","S-30388 OF 1996, NEW DELHI (DELHI)","D-139, FREEDOM FIGHTERS ENCLAVENEB SARAI, NEW DELHI-110068",Education & Literacy,"1584, B1, Vasant Kunj, New Delhi-110070",New Delhi,DELHI,011-26892275,9818821206,http://lights.org.in,lights2003(at)gmail[dot]com
,,,,,,,,,,,,
73,LIONS CLUB INTERNATIONAL DISTRICT 321A TRUST,"show_ngo_info(""204657"");","7455, DELHI (DELHI)","AK-100, SHALIMAR BAGH, DELHI-110088",Health & Family Welfare,"D-139, FREEDOM FIGHTERS ENCLAVE
NEB SARAI, NEW DELHI-110068",NEW DELHI,DELHI,Not Available,9871222811,http://lingayasgroup.org/,bhavik(at)lingayasuniversity[dot]edu.in
,,,,,,,,,,,,
74,Lions Naya Bazar Charitable Society,"show_ngo_info(""211933"");","S-56219, NEW DELHI (DELHI)","Mojiram Lions Eye Hospital, Akbarpur Majra, Bakhtawarpur, DeBakhtawarpur",Health & Family Welfare,"AK-100, SHALIMAR BAGH, DELHI-110088",DELHI,DELHI,Not Available,9910070896,Not Available,lionsclub8318(at)gmail[dot]com
,,,,,,,,,,,,
75,LIPSA,"show_ngo_info(""211344"");","S/1685/Distt. south/2014, South Delhi (DELHI)","Registered Off.Kh No. 520 , G/Floor Flat No PG-1- Jhenda Colony Band Road Village Asola New Delhi -74HEADOFF. -P-6 TOP FLOOR MALVIYA NAGAR ( NEAR POST OFF.) NEW DELHI -17","Children,Education & Literacy,Animal Husbandry, Dairying  &  Fisheries,Aged/Elderly,Health & Family Welfare,Rural Development & Poverty Alleviation,Vocational Training","Mojiram Lions Eye Hospital, Akbarpur Majra, Bakhtawarpur, De
Bakhtawarpur",NEW DELHI,DELHI,Not Available,8826508877,Not Available,mojiramlionseyecare(at)gmail[dot]com
,,,,,,,,,,,,
76,LIT READ,"show_ngo_info(""224516"");","DistrictEast/Society/1783/2017, DELHI (DELHI)","217,218,219 AGGARWAL TOWERS PLOT NO 8 LSC II I P EXTN PATPARGANJ DELHI",Data Not Found,"Registered Off.Kh No. 520 , G/Floor Flat No PG-1- Jhenda Colony Band Road Village Asola New Delhi -74
HEADOFF. -P-6 TOP FLOOR MALVIYA NAGAR ( NEAR POST OFF.) NEW DELHI -17",South Delhi,DELHI,Not Available,7678610722,http://www.lipsaindia.com,PANKAJBBCC(at)GMAIL[dot]COM
,,,,,,,,,,,,
77,LITERACY INDIA,"show_ngo_info(""165481"");","23614, NEW DELHI (DELHI)",C1/11 1st floor Vasant Vihar New Delhi,"Education & Literacy,Women's Development & Empowerment,Agriculture,Art & Culture,Children,Information & Communication Technology,Vocational Training","217,218,219 AGGARWAL TOWERS PLOT NO 8 LSC II I P EXTN PATPARGANJ DELHI",DELHI,DELHI,Not Available,9810087639,Not Available,agrawalajayca(at)gmail[dot]com
,,,,,,,,,,,,
78,LITTLE FLOCK GOSPEL MINISTRIES,"show_ngo_info(""218510"");","33529, DELHI (DELHI)","89 B, POCKET A3, MAYUR VIHAR, PHASE 3 NEW DELHI 110096",Data Not Found,C1/11 1st floor Vasant Vihar New Delhi,NEW DELHI,DELHI,Not Available,9810049692,http:\\literacyindia.org,indraani(at)literacyindia[dot]org
,,,,,,,,,,,,
79,Little Group,"show_ngo_info(""178166"");","S 41412 , New Delhi (DELHI)","BU-29, DDA Market, Pitampura, Delhi-110088","Art & Culture,Children,Education & Literacy,Environment & Forests,Health & Family Welfare,Human Rights,Minority Issues,Women's Development & Empowerment,Any Other","89 B, POCKET A3, MAYUR VIHAR, PHASE 3 NEW DELHI 110096",DELHI,DELHI,Not Available,9810572948,Not Available,philiplfgm(at)gmail[dot]com
,,,,,,,,,,,,
80,LITTLE STAR PUBLIC SCHOOL EDUCATION SOCIETY,"show_ngo_info(""167323"");","14736, NEW DELHI (DELHI)","HOUSE NO-P-5/40,41 MANGOL PURI DELHI-110083","Education & Literacy,Any Other","BU-29, DDA Market, Pitampura, Delhi-110088",New Delhi,DELHI,Not Available,9810549956,Not Available,littlegroupindia(at)gmail[dot]com
,,,,,,,,,,,,
